,reviewer_id,listing_id,polarity
0,825299,10080,0.8333333333333333
1,1914168,10080,0.9
2,3014596,10080,0.7797619047619048
3,825299,7432239,0.7460648148148148
4,55586890,7432239,0.6699999999999999
5,6442534,7432239,0.6623863636363636
6,13039733,7432239,0.828125
7,47060829,7432239,0.6808333333333334
8,25825267,7432239,0.5
9,31489672,7432239,0.5917623782467533
10,43942898,7432239,0.6706439393939394
11,59387070,7432239,0.6485416666666667
12,84653293,7432239,0.6567867476851852
13,1914168,13358,0.7735714285714286
14,29059,13358,0.8208333333333333
15,219314,13358,0.6466666666666667
16,323082,13358,0.6059523809523809
17,397476,13358,0.9666666666666666
18,791952,13358,0.68078125
19,862329,13358,0.6974226963512677
20,993242,13358,0.6076666666666667
21,1302588,13358,0.7391666666666666
22,2064440,13358,0.6958333333333333
23,3306196,13358,0.70625
24,3696968,13358,0.6552380952380953
25,3793228,13358,0.7583333333333333
26,4017276,13358,0.6058333333333333
27,4149684,13358,1.0
28,4249526,13358,0.6924415204678362
29,4744231,13358,0.7191190476190477
30,5294542,13358,0.6338705234159779
31,6529736,13358,0.6788711288711289
32,6772616,13358,0.95
33,9194867,13358,0.7611111111111111
34,9979930,13358,0.7666666666666666
35,12028307,13358,0.8
36,13615417,13358,0.5
37,13646169,13358,0.66875
38,15913526,13358,0.6741666666666667
39,23184197,13358,0.7575000000000001
40,26221379,13358,0.79375
41,27488974,13358,0.7646666666666666
42,29508948,13358,0.8077777777777777
43,31490138,13358,0.6375
44,35156288,13358,0.5973611111111111
45,44241625,13358,0.41666666666666663
46,51465390,13358,0.6399305555555556
47,61781281,13358,0.6474523809523809
48,69301306,13358,0.7427083333333333
49,74846493,13358,0.6933333333333334
50,77111818,13358,0.63125
51,81859872,13358,0.7333333333333333
52,118790474,13358,0.7547619047619047
53,129332675,13358,0.85
54,131404327,13358,0.7489583333333334
55,137005772,13358,0.85
56,148697559,13358,0.95
57,180595579,13358,0.8145833333333333
58,222124818,13358,0.6583333333333333
59,254568936,13358,0.73125
60,1914168,3401626,0.9
61,1914168,13766869,0.8476190476190477
62,6710882,13766869,0.6831060606060606
63,7553458,13766869,0.7985714285714286
64,38198970,13766869,0.7919642857142857
65,51829096,13766869,0.762109375
66,174461154,13766869,0.7422619047619048
67,1914168,15967043,0.9000000000000001
68,31370727,15967043,0.7833333333333333
69,1675763,15967043,0.8833333333333333
70,31406562,15967043,0.6352380952380953
71,3563064,15967043,0.7505952380952381
72,65799379,15967043,0.7173611111111111
73,11137139,15967043,0.6966666666666667
74,363945,15967043,0.8129320987654322
75,36761825,15967043,0.6981481481481482
76,475587,15967043,0.6348958333333333
77,49287009,15967043,0.6805555555555556
78,6328838,15967043,0.7013888888888888
79,21753994,15967043,0.725
80,52816718,15967043,0.6633333333333333
81,70962582,15967043,0.7749999999999999
82,7140807,15967043,0.7666666666666666
83,10002441,15967043,0.9
84,11079346,15967043,0.7635204081632654
85,41851656,15967043,0.8208333333333333
86,55277944,15967043,0.5944444444444444
87,96466102,15967043,0.8333333333333334
88,120442905,15967043,0.7485714285714286
89,146178712,15967043,0.8
90,215455015,15967043,0.8625
91,294092778,15967043,0.7944444444444445
92,1914168,24505232,0.5033950617283951
93,23350842,24505232,0.7083333333333334
94,125696097,24505232,0.7361111111111112
95,1914168,37263281,0.7355050505050506
96,154913887,37263281,0.8280000000000001
97,326550156,37263281,0.5263888888888889
98,314155710,37263281,0.4770895176252319
99,23093416,37263281,0.7097222222222223
100,176062723,37263281,0.7125
101,188257549,37263281,0.44283459595959596
102,3014596,6180007,0.6940277777777778
103,158622973,6180007,0.85
104,2495644,6180007,0.680787037037037
105,29036403,6180007,0.7509803921568627
106,16212333,6180007,0.8
107,246783,6180007,0.6309374999999999
108,2936674,6180007,0.7333333333333334
109,3877366,6180007,0.865
110,6000443,6180007,0.8157142857142857
111,6809501,6180007,0.6801041666666667
112,10984992,6180007,0.6727272727272727
113,13616540,6180007,0.69734375
114,20235025,6180007,0.96875
115,25105199,6180007,0.6666666666666666
116,29389694,6180007,0.5815476190476191
117,53846670,6180007,0.6636111111111112
118,169958016,6180007,0.5
119,7439,13188,0.5965972222222222
120,70714,13188,0.69
121,397731,13188,0.7055555555555556
122,474045,13188,0.72625
123,890448,13188,0.7008928571428572
